,price
231292,5999
17642,3999
414612,25730
998,16000
212003,37998
423810,8500
227263,7500
231639,15990
379170,5995
88052,17795
218937,9499
210720,17995
142824,232
411611,7999
109528,3695
206694,13200
76864,25000
355290,25995
325820,26990
327753,4750
297270,35995
160626,22000
170583,40995
220897,11995
281031,14995
218235,17995
202119,16999
245627,9195
348869,11750
259215,30990
4317,12495
351947,35500
341688,10995
148680,18808
183680,8300
197599,7900
181284,148
358385,36860
344226,16995
271632,23900
234530,24900
56584,5700
295259,30555
140315,29999
241561,4450
152813,34877
5302,7499
285433,24988
4703,10477
236043,7974
242804,19900
248572,7750
278203,43590
195506,6900
120616,9999
325998,7990
157845,14995
376481,2995
278200,34989
265614,18995
309300,8999
420671,14400
361381,11997
350205,28950
239526,5499
343746,7950
113480,15150
121110,6700
354703,3900
300820,10900
178703,56992
402969,14300
234350,27997
328387,12950
34433,7750
377237,9995
332736,7995
133363,716
249264,13590
278447,42990
355334,11995
125132,1000
238775,8995
365435,5995
362501,27995
394951,20995
187185,7499
280785,11977
230233,61999
144606,37990
175371,13688
265409,19588
396405,13999
404920,14351
283528,29900
339560,7600
91468,8500
329048,6950
75690,34999
267343,22500
375534,19590
331242,8899
351361,14500
385509,19994
186957,7500
343488,3900
258201,4450
211022,11900
75534,16990
66338,36999
234312,14980
286496,3599
140799,33981
237653,31480
15186,7950
217155,7995
271747,17500
324051,13950
278495,5000
292996,36999
407845,41990
330646,24900
404742,26995
393273,42995
221425,24995
397827,34000
383971,21995
210711,8559
342694,22995
193680,23495
274431,19995
181625,12800
178467,14995
241358,9990
340523,43995
52892,9500
170330,21999
295399,10997
29114,116
246660,10450
246845,28995
212327,8999
303833,5488
336294,4450
241290,6999
387545,24999
405344,27965
374999,7999
419283,5990
385563,2999
403042,8445
313762,28998
290374,36000
357115,11750
62174,29499
279154,3950
352420,9995
187522,6650
93896,29684
313375,4988
326730,28995
164079,21995
24972,20000
419479,3995
26756,24950
211859,8999
334067,1300
234205,3400
386088,29700
357666,9500
125261,313
